Time,AP[MW],BP[MW],CP[MW]
00:00:00, 0, 0.0046160000000000236, 0
00:15:00, 0, 0.0046350000000000202, 0
00:30:00, 0.0046500000000000226, 0, 0  
00:45:00, 0, 0, 0.0046110000000000246
01:00:00, 0, 0.0046290000000000200, 0
01:15:00, 0, 0.0046120000000000223, 0 
01:00:00, 0.0046450000000000156, 0, 0 
01:00:00, 0, 0, 0.0046200000000000214
02:00:00, 0, 0, -0.00000000000001
02:15:00, 0, -0.00000000000001, 0
02:00:00, 0, -0.00000000000001, 0
02:00:00, 0.0013555555555582504, 0, 0 
03:00:00, 0, 0, 0.0046370000000000227
03:15:00, 0, 0, 0.0046630000000000242
03:00:00, 0, 0, 0.0046490000000000231
03:00:00, 0, 0, 0.0046600000000000250
04:00:00, 0, 0.0046400000000000237, 0
04:15:00, 0.0047150000000000167, 0, 0 
04:00:00, 0.0049080000000000332, 0, 0 
04:00:00, 0.0051390000000000224, 0, 0 
05:00:00, 0, 0, 0
05:15:00, 0, 0, 0 
05:00:00, 0, 0, 0 
05:00:00, 0, 0, 0 
06:00:00, 0, 0, 0
06:15:00, 0, 0, 0
06:00:00, 0, 0, 0
06:00:00, 0, 0, 0
07:00:00, 0, 0, 0
07:15:00, 0, 0, 0
07:00:00, 0, 0, 0
07:00:00, 0, 0, 0
08:00:00, 0, 0, 0
08:15:00, 0, 0, 0
08:00:00, 0, 0, 0
08:00:00, 0, 0, 0
09:00:00, 0, 0, 0
09:15:00, 0, 0, 0
09:00:00, 0, 0, 0
09:00:00, 0, 0, 0
10:00:00, 0, 0, 0
10:15:00, 0, 0, 0
10:30:00, 0, 0, 0
10:45:00, 0, 0, 0
11:00:00, 0, 0, 0
11:15:00, 0, 0, 0
11:30:00, 0, 0, 0
11:45:00, 0, 0, 0
12:00:00, 0, 0, 0
12:15:00, 0, 0, 0
12:30:00, 0, 0, 0
12:45:00, 0, 0, 0
13:00:00, 0, 0, 0
13:15:00, 0, 0, 0
13:30:00, 0, 0, 0
13:45:00, 0, 0, 0
14:00:00, 0, 0, 0
14:15:00, 0, 0, 0
14:30:00, 0, 0, 0
14:45:00, 0, 0, 0
15:00:00, 0, 0, 0
15:15:00, 0, 0, 0
15:30:00, 0, 0, 0
15:45:00, 0, 0, 0
16:00:00, 0, 0, 0
16:15:00, 0, 0, 0
16:30:00, 0, 0, 0
16:45:00, 0, 0, 0
17:00:00, 0, 0, 0
17:15:00, 0, 0, 0
17:30:00, 0, 0, 0
17:45:00, 0, 0, 0
18:00:00, 0, 0, 0
18:15:00, 0, 0, 0.0048290000000000344 
18:30:00, 0, 0, 0.005066
18:45:00, 0, 0.0049700000000000015, 0
19:00:00, -0.002234, 0, 0
19:15:00, -0.0060166666666666302, 0, 0
19:30:00, -0.0025760000000000005, 0, 0
19:45:00, -0.0072, 0, 0
20:00:00, -0.0050409999999999995, 0, 0  
20:15:00, -0.0048249999999999993, 0, 0
20:30:00, 0, -0.0047220000000000359, 0
20:45:00, 0, -0.0049170000000000309, 0  
21:00:00, 0.0045189999999999992, 0, 0  
21:15:00, -0.00426, 0, 0 
21:30:00, 0, 0, 0
21:45:00, -0.00025900000000000034, 0, 0
22:00:00, 0.0044349999999999969, 0, 0  
22:15:00, 0.0046320000000000006, 0, 0 
22:30:00, 0, 0, -0.0046819999999999995 
22:45:00, -0.004385, 0, 0
23:00:00, -0.00000000000001, 0, 0
23:15:00, 0, 0, 0.000058000000001002187 
23:30:00, 0.0045859999999999994, 0, 0
23:45:00, -0.0046439999999999992, 0, 0
